combination,risk,learning rate,alpha
1,0.005540145435952581,0.0001,0.0
2,0.005253865095437504,0.0001,0.0001
3,0.0050098260369850324,0.0001,0.001
4,0.0053403346973937005,0.0001,0.01
5,0.004382061795331538,0.0001,0.1
6,0.0026321438068407587,0.001,0.0
7,0.002752529839926865,0.001,0.0001
8,0.0021145011312910357,0.001,0.001
9,0.0019052119590924122,0.001,0.01
10,0.006193379533942789,0.001,0.1
11,0.007733046065550297,0.01,0.0
12,0.03883781277691014,0.01,0.0001
13,0.004241999701480381,0.01,0.001
14,0.007247439509956166,0.01,0.01
15,0.011446546111255885,0.01,0.1
16,0.05635598652297631,0.1,0.0
17,0.08007122518029064,0.1,0.0001
18,0.04444464417174458,0.1,0.001
19,0.018582541681826114,0.1,0.01
20,0.039484891248866914,0.1,0.1
