combination,risk,learning rate,alpha
1,0.6840989612042904,0.0001,0.0
2,0.712901895493269,0.0001,0.0001
3,0.6719291761517525,0.0001,0.001
4,0.6287349000573158,0.0001,0.01
5,0.6172603975981474,0.0001,0.1
6,0.6636438585817814,0.001,0.0
7,0.5953884202986955,0.001,0.0001
8,0.605812769010663,0.001,0.001
9,0.5482295840978623,0.001,0.01
10,0.5725692577660084,0.001,0.1
11,0.8664948150515557,0.01,0.0
12,1.1069869220256805,0.01,0.0001
13,0.9765033729374408,0.01,0.001
14,0.9311548218131065,0.01,0.01
15,1.3942755788564682,0.01,0.1
16,5.877169308066368,0.1,0.0
17,2.7422460556030273,0.1,0.0001
18,32.75577151030302,0.1,0.001
19,7.4239361643791195,0.1,0.01
20,7.268300771713257,0.1,0.1
