yreal,yimag,loss
-1.385119,-1.069554,0.7996962
1.167054,-0.94233,0.089721896
-2.25,0.0,2.6353145
-0.22419,2.991611,6.6936812
-1.092933,-0.606627,0.5157728
0.75,0.0,1.0642866
0.704769,0.256515,0.6929021
-0.929776,-0.368125,0.4626001
0.309017,0.951057,0.015050561
0.062791,-0.998027,0.34500855
1.937166,-0.49738,0.81674397
-1.5,2.598076,6.7102213
-1.966551,-1.922284,4.197446
0.868263,2.34438,4.5877485
-0.637424,-0.770513,0.065234035
-1.984229,-0.250666,1.8487158
1.096023,-2.792621,4.829866
-2.412252,1.320432,4.9079695
2.199156,2.040518,8.528864
-0.574533,0.482091,0.88697994
-0.378569,-2.471171,3.3382416
1.457937,-1.369094,1.9004097
1.5,-2.598076,5.7472963
-0.550493,1.122256,0.17585792
2.966492,0.447127,8.596992
2.199156,-2.040518,7.730506
1.197072,1.905129,3.3838954
2.448825,-0.503246,3.968081
-0.317864,-1.72089,2.0114517
-2.193588,0.500672,2.803211
2.349653,1.428856,6.7717733
1.905129,1.197072,3.0235834
-1.896895,1.628431,4.0175796
2.385348,0.748408,4.018623
1.759121,-1.402852,2.098691
-1.530265,-1.976939,3.4315608
0.062599,2.749287,5.2043543
-0.868263,-2.34438,3.708496
-0.992115,0.125333,0.52867717
-1.21463,-1.259831,0.56066376
1.5,0.0,0.77573216
1.224412,0.251623,1.4228519
2.25,0.0,2.154834
-0.433013,-0.25,0.77882594
-0.0,-0.5,0.9354112
-0.704769,-0.256515,0.52003187
1.722417,1.811982,4.7871656
0.851559,1.809654,2.7911801
1.0,0.0,1.7415318
2.569583,-0.979665,6.4925547
0.126623,2.496791,3.7937822
0.125581,-1.996053,1.8825637
0.442633,-1.693096,1.8450676
-0.063914,1.748832,2.2779007
-1.905129,1.197072,3.0643594
-0.313316,1.210096,0.22135943
0.535827,0.844328,0.05480363
1.877021,-2.009799,5.114382
-0.920919,2.591218,5.795838
-1.5,-2.598076,5.774823
0.802026,-2.630447,3.08899
1.148697,-0.492945,0.5043958
1.402852,-1.759121,2.1796472
-1.096023,2.792621,6.9772706
1.037903,-2.546617,3.5303297
0.968583,0.24869,1.5167656
-0.851559,1.809654,3.040441
2.123737,0.743128,2.9906712
-0.948448,0.814216,0.9830283
-1.152735,-2.496738,4.7091055
-0.89195,-1.205996,0.09352509
-1.752613,0.963507,2.2697597
-0.425779,0.904827,0.29768607
-1.100985,2.244511,4.5687513
0.25,0.433013,3.1423216
-0.5,0.0,0.7077423
1.618034,-1.175571,1.7208171
-2.448825,0.503246,3.614848
1.984229,0.250666,1.043375
0.316019,-1.466333,1.0091125
1.459496,0.965594,1.2708019
-1.585871,2.246667,5.277887
-0.202254,0.146946,1.2015569
-0.948448,-0.814216,0.2457246
2.193588,0.500672,2.6756876
1.481971,2.316519,6.4627275
-0.992115,-0.125333,0.26834118
0.618034,1.902113,2.5953496
1.402852,1.759121,3.3510222
-1.526086,0.856481,1.3977988
-1.618034,-1.175571,1.6614965
0.976238,2.02718,3.4953134
-2.282185,-1.534319,4.144929
2.297395,0.98589,4.2257977
1.870469,-2.345494,6.7109566
0.434132,1.17219,0.075884745
0.442633,1.693096,2.1066947
0.976238,-2.02718,1.5631038
-1.759121,1.402852,3.116489
-1.966551,1.922284,5.0782127
1.274848,1.541026,2.9128194
-0.187667,-2.743589,4.1838603
2.5,0.0,4.0415907
1.686484,-2.172159,4.7008734
0.309017,-0.951057,0.37610227
1.896895,1.628431,4.4503384
-2.199156,-2.040518,5.2532063
2.123737,-0.743128,2.3597806
2.185867,1.213255,4.3471193
-2.02718,0.976238,2.9665818
-0.626631,-2.420193,3.5265722
1.896895,-1.628431,3.255015
1.584534,-0.742799,0.25783816
1.265179,-2.441684,3.9944096
-0.565041,-1.65627,1.8316652
-0.976238,2.02718,3.641481
2.866718,-0.884266,8.340011
-0.063311,-1.248396,0.10563123
-2.702907,1.301651,5.982564
2.235852,-0.25192,2.2111876
1.309521,-0.731542,0.00049118255
-1.59099,-1.59099,2.4976687
-0.190527,-1.487851,0.8778741
0.876307,0.481754,0.58415204
-0.743128,-2.123737,2.8719254
1.478424,0.253501,0.7426517
-0.667563,2.924784,6.8452334
0.667563,-2.924784,4.2024584
-2.123737,0.743128,2.9073744
-2.0,-0.0,1.9249638
-1.526086,-0.856481,1.0588589
-0.626631,2.420193,4.3318906
2.70452,0.49807,6.8682113
0.378569,2.471171,3.8545992
1.100985,2.244511,4.715424
-1.722417,1.811982,4.059679
1.303351,-1.167808,0.9718083
-1.937166,-0.49738,1.796642
2.051909,-1.428171,3.2045105
1.686484,2.172159,6.191821
-1.082934,1.037908,0.5271736
-1.457937,1.369094,1.9844339
2.75,0.0,6.752219
-2.611509,0.861696,4.735098
0.559504,-2.692481,3.227668
0.876307,-0.481754,0.48028338
1.167054,0.94233,0.28514704
